CustomerNumber,CustomerName,StreetName,City,State,ZIP,Country,,,,,,,,,
1000470,BANKRUPTCY 11 PAT'S,3561 WHEATON WAY,BREMERTON,WA,98310-3530,USA,,,,,,,,,
1000471,ALBERTO'S CHURROS LL,405 HOWELL WAY,EDMONDS,WA,98020-4186,USA,,,,,,,,,
1000474,60TH STREET DESSERTS,7401 SAND POINT WAY NE,SEATTLE,WA,98115-6325,USA,,,,,,,,,
1000477,DANISH BAKERY - BURI,825 SW 152ND ST,BURIEN,WA,98166-1841,USA,,,,,,,,,
1000478,SKAGIT RIVER BAKERY,808 COMMERCIAL AVE,ANACORTES,WA,98221-4113,USA,,,,,,,,,
1000479,UKRAINE INTERNATIONA,5317 EVERGREEN WAY,EVERETT,WA,98203-3631,USA,,,,,,,,,
1000480,CAL'S DONUTS,2091 RIVER RD,EUGENE,OR,97404-2503,USA,,,,,,,,,
1000481,SANDY'S CAKES,450 RANDEL RD,SUNNYSIDE,WA,98944-9719,USA,,,,,,,,,
1000482,ARTISAN BAKING COMPA,20620 84TH AVE S,KENT,WA,98032,USA,,,,,,,,,
1000483,DONUT SEED CO,801 WARNER ST,SEDRO WOOLLEY,WA,98284-1738,USA,,,,,,,,,
1000484,SHIRLEY'S DONUTS,12305 SW BROADWAY ST,BEAVERTON,OR,97005-2141,USA,,,,,,,,,
1000485,SESAME DONUTS - SHER,22560 SW PINE ST APT A,SHERWOOD,OR,97140-9635,USA,,,,,,,,,
1000486,EL RANCHITO ALEGRE -,8349 SW TONKA ST,TUALATIN,OR,97062-9087,USA,,,,,,,,,
1000521,IMPERIAL LLC,11050 SE POWELL BLVD,PORTLAND,OR,97266-1863,USA,,,,,,,,,
1000522,HIS BAKERY LLC,6011 SE 72ND AVE,PORTLAND,OR,97206-6401,USA,,,,,,,,,
1000523,EUROPA FOOD,1568 FRUITLAND DR,BELLINGHAM,WA,98226-1201,USA,,,,,,,,,
1000524,CHAVITAS FOODS CLOSE,12070 SW ALLEN BLVD,BEAVERTON,OR,97005-4721,USA,,,,,,,,,
